Automation License Manager;V5.3 + SP4 + Upd1;05.03.04.01_01.01.00.05;K5.3.4.1;
S7-PLCSIM  ;V5.4 + SP8;V05.04.08.00_08.03.00.01;K5.4.8.0;
SIMATIC S7-Block Privacy Professional 2017;V1.0 + SP4;K1.0.4.0_9.1.0.1;K1.0.4.0;
SIMATIC S7-GRAPH Professional 2017;V5.6;V5.6.0.0_8.1.0.1;V5.6.0.0;
S7-PCT Professional 2017;V3.4 + HF2;K03.04.00.02_01.11.00.01;K3.4.0.2;
SIMATIC S7-SCL Professional 2017;V5.6;V5.6.0.0_11.1.0.1;V5.6.0.0;
STEP 7 Professional 2017;V5.6 + HF1;K5.6.0.1_5.1.0.1;K5.6.0.1;
SIMATIC S7-Web2PLC Professional 2017;V1.0 + SP3;K1.0.3.0_8.1.0.1;K1.0.3.0;
Automation Access Control Component;4.0;K04.00.01.00_01.01.00.01;---;
SIMATIC Colour Editor;5.2.2.0;K5.2.2.0_2.1.0.1;---;
License Logon Interface;4.0;K04.00.03.00_01.01.00.02;---;
SIMATIC Version View;1.7.11.0;K1.7.11.0_6.1.0.2;---;
SIMATIC Common Services;5.3.15.0;K5.3.15.0_1.1.0.1;---;
SIMATIC Device Drivers WoW;29.1;29.01.02.01_01.01.00.04;---;
SIMATIC Event Database;5.6;05.06.00.00_03.01.00.01;---;
SIMATIC GRAPH-Visualisierung;5.2.4.0;K5.2.4.0_1.1.0.1;---;
SIMATIC GSD CONTROL;3.5.7.0;K3.5.7.0_2.1.0.1;---;
SIMATIC GSD Interpreter;2.6.0.0;V2.6.0.0_8.1.0.1;---;
SIMATIC Interface Editor;5.4.19.0;K5.4.19.0_1.1.0.1;---;
SIMATIC Extended Interfaces;5.4.7.0;K5.4.7.0_2.1.0.1;---;
SIMATIC LanguageSupportTool;5.8.4.0;K5.8.4.0_2.1.0.1;---;
SIMATIC Condition Editor;5.4.12.0;K5.4.12.0_1.1.0.1;---;
SIMATIC NCM;5.6.0.1;K5.6.0.1_5.1.0.1;---;
SIMATIC Process Diagnosis Base;5.3.13.0;K5.3.13.0_1.1.0.1;---;
SIMATIC Process Diagnosis Database;5.3.6.3;K05.03.06.03_01.01.00.01;---;
SIMATIC DIAGNOSTIC REPEATER GUI CTRL;5.2.3.0;K5.2.3.0_1.1.0.1;---;
SIMATIC Grid Control;2.6.0.0;V2.6.0.0_2.1.0.1;---;
SIMATIC S7-Status-OCX;5.3.12.0;K5.3.12.0_2.1.0.1;---;
SIMATIC Technological Parameter Assignment;5.3.12.0;K5.3.12.0_3.1.0.1;---;
SIMATIC X-Ref Control;5.2.8.0;K5.2.8.0_2.2.0.1;---;
SIMATIC SCL Compiler;5.6.0.0;V5.6.0.0_11.1.0.1;---;
